Reading 1, Part 1
un hasard, a chance, m
craindre, to fear, n
une crainte, a fear, f
une larme, a tear, f
une bonne, a maid, f
exiger, to insist on/to require, n
prêter, to lend/to loan, n
soigner, to look after/to treat, n
jeter les yeux sur, to glance at, n
s'informer, to find out, n
être vraiment arrivé, to have really happened, n
la valeur, the value, f
sinon, otherwise/except, n
tuer, to kill, n
assassiner, to assassinate, n
auprès de, near/by/with, n
donc, therefore, n
pour que, so that, n
au fait, by the way, n
vers, around, n
à peine, scarcely, n
dès, as early as/by, n
car, because, n
rester, to stay, n
prétendre, to claim/to allege, n
prier, to pray/to pray to, n
un orphelin, an orphan, m
une orpheline, an orphan, f
