Reading 2, Vocabulary
un lieu, a place, m
gris, grey, m
grise, grey, f
suivre, to follow, n
un entretien, a conversation, m
un amant, a lover, m
bien entendu, of course, n
un devoir, a duty/an exercise, m
le bout, the end, m
jouer, to play, n
laisser, to leave/to let, n
tirer, to draw/to pull/to fire, n
se trouver, to find oneself, n
en congé, on holiday, n
le rez-de-chaussée, the ground floor, m
la cuisine, the kitchen, f
à pied, on foot, n
une voiture, a car, f
croyable, credible, n
reconduire, to show out, n
quitter, to leave, n
un hôtel particulier, a mansion/a town house, m
le bureau, the office, m
le dévouement, the devotion, m
décemment, decently, n
admirablement, admirably, n
parfaitement, perfectly, n
généralement, generally, n
personnellement, personally, n
