Reading 2, Cognates & False Cognates
un domestique, a servant, m
une domestique, a servant, f
également, equally/also, n
un cercle, a circle/a club, n
douloureux, sad/painful, m
douloureuse, sad/painful, f
les condoléances, condolences, f
un rendez-vous, an appointment/a date, m
accorder, to grant/to give/to match, n
la peine, the trouble/the pain, f
supporter, to stand for, n
un interrogatoire, an interrogation, m
avouer, to admit, n
une poche, a pocket/a pouch, f
raconter, to recount/to tell, n
drôle, droll/funny, n
perfide, deceitful/treacherous, n
la calomnie, the slander, f
calomnier, to slander, n
profiter, to take advantage of, n
avertir, to warn, n
