Vocab 2, Part 1: Lifestyles
les modes de vie, the lifestyles, m
la banlieue, the suburbs, f
la campagne, the countryside, f
à la campagne, in the country, n
une cité-dortoir, a bedroom community, f
un colocataire, a roommate, m
une colocataire, a roommate, f
le foyer, the home/the heart, m
un grand ensemble, an apartment complex, m
un habitant, an inhabitant/a resident, m
une HLM/une habitation à loyer modéré, a subsidized housing, f
un immeuble collectif, a multi-family dwelling, m
un locataire, a renter, m
une locataire, a renter, f
un logement social, a public housing, m
louer, to rent, n
le loyer, the rent, m
une maison individuelle, a single family house, f
un ménage, a household, m
un propriétaire, an owner, m
une propriétaire, an owner, f
le rez-de-chaussée, the ground floor, m

les problèmes sociaux, the social problems, m
le cambriolage, the breaking and entering, m
le chômage, the unemployment, m
la délinquance, the delinquency, f
l'insécurité, the lack of safety, f
le vol, the robbery, m

la technologie, the technology, f
un clip, a music video, m
l'email/le courrier électronique, the email, m
le fax, the fax machine/the fax, m
les informations/les infos, the news, f
un internaute, an internet surfer, m
une internaute, an internet surfer, f
un livre numérique, an e-book, m
le portable/le téléphone portable, the cellphone, m
le fixe/le poste fixe, the land line, m
un réseau, a network, m
un texto/un SMS, a text message, m
surfer, to surf, n
surfer sur Internet, to surf the Web, n
télécharger, to upload or download, n
le Web, the World Wide Web, m
